var_type,format,voice_type_main,voice_type_desc,voice,giovani,famiglie_bassa,famiglie_media,famiglie_alta,pensionati_bassa,pensionati_media
valore,sportello,base,base,Canone,24,0,0,0,48,24
valore,sportello,base,base,Nowbanking Privati,0,0,0,0,0,0
valore,sportello,operativita_corrente,gestione della liquidità,Richiesta elenco movimento allo sportello,0,0,0,0,0,0
valore,sportello,operativita_corrente,gestione della liquidità,Richiesta elenco movimento online,0.16,0.16,0.16,0.16,0.16,0.16
valore,sportello,operativita_corrente,gestione della liquidità,Prelievo contante sportello > 500 €,1,1,1,1,1,1
valore,sportello,operativita_corrente,gestione della liquidità,Versamento in contante e assegni,0,0,0,0,0,0
valore,sportello,operativita_corrente,gestione della liquidità,Comunicazione Trasparenza,0.2125,0.2125,0.2125,0.2125,0.2125,0.2125
valore,sportello,operativita_corrente,gestione della liquidità,Invio estratto conto,0.85,0.85,0.85,0.85,0.85,0.85
valore,sportello,servizi_pagamento,carta di debito,Canone carta di debito,0,0,0,0,0,0
valore,sportello,servizi_pagamento,carta di debito,Prelievo presso ATM banca del gruppo,0,0,0,0,0,0
valore,sportello,servizi_pagamento,carta di debito,Prelievo presso ATM altra banca,2.1,2.1,2.1,2.1,2.1,2.1
valore,sportello,servizi_pagamento,carta di debito,Prelievo presso ATM altri Paesi UE,2.1,2.1,2.1,2.1,2.1,2.1
valore,sportello,servizi_pagamento,operazioni pagamento con carta debito,Operazioni,0,0,0,0,0,0
valore,sportello,servizi_pagamento,carta di credito,Carta di credito,30.99,30.99,30.99,30.99,30.99,30.99
valore,sportello,servizi_pagamento,carta di credito,invio estratto conto,1.15,1.15,1.15,1.15,1.15,1.15
valore,sportello,servizi_pagamento,carta prepagata,Carta Prepagata,6,12,12,12,12,12
valore,sportello,servizi_pagamento,carta prepagata,Ricarica carta pregata,1,1,1,1,1,1
valore,sportello,servizi_pagamento,"assegni, utenze, imposte",Pagamenti con assegni,0.35,0.35,0.35,0.35,0.35,0.35
valore,sportello,servizi_pagamento,"assegni, utenze, imposte",Domiciliazione utenze,0,0,0,0,0,0
valore,sportello,servizi_pagamento,"assegni, utenze, imposte",Pagamenti tasse ed imposte,0,0,0,0,0,0
valore,sportello,servizi_pagamento,pagamenti ricorrenti,Rata mutuo - addebito in c/c,1.5,1.5,1.5,1.5,1.5,1.5
valore,sportello,servizi_pagamento,pagamenti ricorrenti,Finanziamento rate acquisti - addebito in c/c,1.5,1.5,1.5,1.5,1.5,1.5
valore,sportello,servizi_pagamento,bonifici,Accredito stipendio/pensione,0,0,0,0,0,0
